id,code,country_id:id,state_id:id,name,shortcut
res_partner_company_type_1,CDOV,base.ag,,International Business Corporation,
res_partner_company_type_2,5AWN,base.ar,,Sociedad del Estado,S.E
res_partner_company_type_3,6M8Y,base.ar,,Sociedad Colectiva,Soc.Col.
res_partner_company_type_4,D3E0,base.ar,,Sociedad de Capital e Industria,S.C.e I.
res_partner_company_type_5,F0A6,base.ar,,Sociedad Anonima,S.A.
res_partner_company_type_6,FE8K,base.ar,,Sociedad Por Acciones Simplificada,S.A.S
res_partner_company_type_7,H70T,base.ar,,Sociedad en Comandita Simple,S.C.S.
res_partner_company_type_8,HZ6C,base.ar,,Sociedad Cooperativa,S. Coop.
res_partner_company_type_9,L4QF,base.ar,,Organismo Publico,
res_partner_company_type_10,LVJZ,base.ar,,Fundacion,
res_partner_company_type_11,O7AL,base.ar,,Sociedad de Garantía Reciproca,SGR
res_partner_company_type_12,PLZ6,base.ar,,Sociedad en Comandita por Acciones,S.C.p.A.
res_partner_company_type_13,RDD3,base.ar,,Asociacion civil,
res_partner_company_type_14,U82F,base.ar,,Sociedad De Responsalided Limitada,S.R.L
res_partner_company_type_15,WUAZ,base.ar,,Sociedad Anonima Unipersonal,S.A.U.
res_partner_company_type_16,CRL9,base.aw,,Stichting,
res_partner_company_type_17,CYW2,base.aw,,Vennootschap onder firma,VOF
res_partner_company_type_18,CYW2,base.aw,,Vennootschap onder firma,vof
res_partner_company_type_19,CYW2,base.aw,,Vennootschap onder firma,V.O.F.
res_partner_company_type_20,CYW2,base.aw,,Vennootschap onder firma,v.o.f.
res_partner_company_type_21,GAJN,base.aw,,Commanditaire vennootschap (1),
res_partner_company_type_22,M27U,base.aw,,Besloten vennootschap,BV
res_partner_company_type_23,M27U,base.aw,,Besloten vennootschap,bv
res_partner_company_type_24,M27U,base.aw,,Besloten vennootschap,B.V.
res_partner_company_type_25,M27U,base.aw,,Besloten vennootschap,b.v.
res_partner_company_type_26,OLAI,base.aw,,Vereniging,
res_partner_company_type_27,P65N,base.aw,,Naamloze vennootschap,NV
res_partner_company_type_28,P65N,base.aw,,Naamloze vennootschap,nv
res_partner_company_type_29,P65N,base.aw,,Naamloze vennootschap,N.V.
res_partner_company_type_30,P65N,base.aw,,Naamloze vennootschap,n.v.
res_partner_company_type_31,PCRJ,base.aw,,Cooperatieve vereniging,
res_partner_company_type_32,PT6C,base.aw,,Eenmanszaak,
res_partner_company_type_33,REUP,base.aw,,Aruba vrijgestelde vennootschap,AVV
res_partner_company_type_34,REUP,base.aw,,Aruba vrijgestelde vennootschap,avv
res_partner_company_type_35,REUP,base.aw,,Aruba vrijgestelde vennootschap,A.V.V.
res_partner_company_type_36,REUP,base.aw,,Aruba vrijgestelde vennootschap,a.v.v.
res_partner_company_type_37,T5RL,base.aw,,Vennootschap buitenlands recht,
res_partner_company_type_38,UV8T,base.aw,,Maatschap,
res_partner_company_type_39,V905,base.aw,,Vennootschap met beperkte aansprakelijkheid,VBA
res_partner_company_type_40,V905,base.aw,,Vennootschap met beperkte aansprakelijkheid,vba
res_partner_company_type_41,V905,base.aw,,Vennootschap met beperkte aansprakelijkheid,V.B.A.
res_partner_company_type_42,V905,base.aw,,Vennootschap met beperkte aansprakelijkheid,v.b.a.
res_partner_company_type_43,YCV2,base.aw,,Commanditaire vennootschap (1+),
res_partner_company_type_44,6W6X,base.au,,Co-operative,Co-operative Limited
res_partner_company_type_45,6W6X,base.au,,Co-operative,Cooperative Limited
res_partner_company_type_46,6W6X,base.au,,Co-operative,Co-op Limited
res_partner_company_type_47,6W6X,base.au,,Co-operative,Coop Limited
res_partner_company_type_48,6W6X,base.au,,Co-operative,Co-operative Ltd.
res_partner_company_type_49,6W6X,base.au,,Co-operative,Cooperative Ltd.
res_partner_company_type_50,6W6X,base.au,,Co-operative,Co-opLtd.
res_partner_company_type_51,6W6X,base.au,,Co-operative,Coop Ltd.
res_partner_company_type_52,6W6X,base.au,,Co-operative,Co-operative
res_partner_company_type_53,6W6X,base.au,,Co-operative,Cooperative
res_partner_company_type_54,6W6X,base.au,,Co-operative,Co-op
res_partner_company_type_55,6W6X,base.au,,Co-operative,Coop
res_partner_company_type_56,7TPC,base.au,,Trust,
res_partner_company_type_57,ADXG,base.au,,Fund,
res_partner_company_type_58,BC38,base.au,,Incorporated association,Inc
res_partner_company_type_59,BC38,base.au,,Incorporated association,inc
res_partner_company_type_60,BC38,base.au,,Incorporated association,Inc.
res_partner_company_type_61,BC38,base.au,,Incorporated association,inc.
res_partner_company_type_62,J4JC,base.au,,Limited Partnership,A Limited Partnership
res_partner_company_type_63,J4JC,base.au,,Limited Partnership,An Incorporated Limited Partnership
res_partner_company_type_64,J4JC,base.au,,Limited Partnership,LP
res_partner_company_type_65,J4JC,base.au,,Limited Partnership,LP.
res_partner_company_type_66,J4JC,base.au,,Limited Partnership,Lp.
res_partner_company_type_67,J4JC,base.au,,Limited Partnership,Lp
res_partner_company_type_68,J4JC,base.au,,Limited Partnership,I.L.P
res_partner_company_type_69,J4JC,base.au,,Limited Partnership,ILP
res_partner_company_type_70,LZFR,base.au,,Public Company limited by guarantee,Ltd
res_partner_company_type_71,LZFR,base.au,,Public Company limited by guarantee,Ltd.
res_partner_company_type_72,LZFR,base.au,,Public Company limited by guarantee,Limited
res_partner_company_type_73,PQHL,base.au,,No Liability Company,No Liability
res_partner_company_type_74,PQHL,base.au,,No Liability Company,NL
res_partner_company_type_75,Q82Q,base.au,,Unlimited Proprietary Company,Proprietary
res_partner_company_type_76,Q82Q,base.au,,Unlimited Proprietary Company,PTY
res_partner_company_type_77,Q82Q,base.au,,Unlimited Proprietary Company,PTY.
res_partner_company_type_78,Q82Q,base.au,,Unlimited Proprietary Company,Pty.
res_partner_company_type_79,Q82Q,base.au,,Unlimited Proprietary Company,Pty Ltd
res_partner_company_type_80,R4KK,base.au,,Public Company limited by shares,Ltd
res_partner_company_type_81,R4KK,base.au,,Public Company limited by shares,Ltd.
res_partner_company_type_82,R4KK,base.au,,Public Company limited by shares,Limited
res_partner_company_type_83,TXVC,base.au,,Limited Proprietary Company,Proprietary Limited
res_partner_company_type_84,TXVC,base.au,,Limited Proprietary Company,Proprietary Ltd
res_partner_company_type_85,TXVC,base.au,,Limited Proprietary Company,Pty Limited
res_partner_company_type_86,TXVC,base.au,,Limited Proprietary Company,PTY LTD
res_partner_company_type_87,TXVC,base.au,,Limited Proprietary Company,PTY. LTD.
res_partner_company_type_88,TXVC,base.au,,Limited Proprietary Company,Pty. Ltd.
res_partner_company_type_89,TXVC,base.au,,Limited Proprietary Company,Pty Ltd
