id,entity_legal_form_id:id,name
entity_legal_form_abbreviation_1,entity_legal_form_2,S.E
entity_legal_form_abbreviation_2,entity_legal_form_3,Soc.Col.
entity_legal_form_abbreviation_3,entity_legal_form_4,S.C.e I.
entity_legal_form_abbreviation_4,entity_legal_form_5,S.A.
entity_legal_form_abbreviation_5,entity_legal_form_6,S.A.S
entity_legal_form_abbreviation_6,entity_legal_form_7,S.C.S.
entity_legal_form_abbreviation_7,entity_legal_form_8,S. Coop.
entity_legal_form_abbreviation_8,entity_legal_form_11,SGR
entity_legal_form_abbreviation_9,entity_legal_form_12,S.C.p.A.
entity_legal_form_abbreviation_10,entity_legal_form_14,S.R.L
entity_legal_form_abbreviation_11,entity_legal_form_15,S.A.U.
entity_legal_form_abbreviation_12,entity_legal_form_17,VOF
entity_legal_form_abbreviation_13,entity_legal_form_17,vof
entity_legal_form_abbreviation_14,entity_legal_form_17,V.O.F.
entity_legal_form_abbreviation_15,entity_legal_form_17,v.o.f.
entity_legal_form_abbreviation_16,entity_legal_form_19,BV
entity_legal_form_abbreviation_17,entity_legal_form_19,bv
entity_legal_form_abbreviation_18,entity_legal_form_19,B.V.
entity_legal_form_abbreviation_19,entity_legal_form_19,b.v.
entity_legal_form_abbreviation_20,entity_legal_form_21,NV
entity_legal_form_abbreviation_21,entity_legal_form_21,nv
entity_legal_form_abbreviation_22,entity_legal_form_21,N.V.
entity_legal_form_abbreviation_23,entity_legal_form_21,n.v.
entity_legal_form_abbreviation_24,entity_legal_form_24,AVV
entity_legal_form_abbreviation_25,entity_legal_form_24,avv
entity_legal_form_abbreviation_26,entity_legal_form_24,A.V.V.
entity_legal_form_abbreviation_27,entity_legal_form_24,a.v.v.
entity_legal_form_abbreviation_28,entity_legal_form_27,VBA
entity_legal_form_abbreviation_29,entity_legal_form_27,vba
entity_legal_form_abbreviation_30,entity_legal_form_27,V.B.A.
entity_legal_form_abbreviation_31,entity_legal_form_27,v.b.a.
entity_legal_form_abbreviation_32,entity_legal_form_29,Co-operative Limited
entity_legal_form_abbreviation_33,entity_legal_form_29,Cooperative Limited
entity_legal_form_abbreviation_34,entity_legal_form_29,Co-op Limited
entity_legal_form_abbreviation_35,entity_legal_form_29,Coop Limited
entity_legal_form_abbreviation_36,entity_legal_form_29,Co-operative Ltd.
entity_legal_form_abbreviation_37,entity_legal_form_29,Cooperative Ltd.
entity_legal_form_abbreviation_38,entity_legal_form_29,Co-opLtd.
entity_legal_form_abbreviation_39,entity_legal_form_29,Coop Ltd.
entity_legal_form_abbreviation_40,entity_legal_form_29,Co-operative
entity_legal_form_abbreviation_41,entity_legal_form_29,Cooperative
entity_legal_form_abbreviation_42,entity_legal_form_29,Co-op
entity_legal_form_abbreviation_43,entity_legal_form_29,Coop
entity_legal_form_abbreviation_44,entity_legal_form_32,Inc
entity_legal_form_abbreviation_45,entity_legal_form_32,inc
entity_legal_form_abbreviation_46,entity_legal_form_32,Inc.
entity_legal_form_abbreviation_47,entity_legal_form_32,inc.
entity_legal_form_abbreviation_48,entity_legal_form_33,A Limited Partnership
entity_legal_form_abbreviation_49,entity_legal_form_33,An Incorporated Limited Partnership
entity_legal_form_abbreviation_50,entity_legal_form_33,LP
entity_legal_form_abbreviation_51,entity_legal_form_33,LP.
entity_legal_form_abbreviation_52,entity_legal_form_33,Lp.
entity_legal_form_abbreviation_53,entity_legal_form_33,Lp
entity_legal_form_abbreviation_54,entity_legal_form_33,I.L.P
entity_legal_form_abbreviation_55,entity_legal_form_33,ILP
entity_legal_form_abbreviation_56,entity_legal_form_34,Ltd
entity_legal_form_abbreviation_57,entity_legal_form_34,Ltd.
entity_legal_form_abbreviation_58,entity_legal_form_34,Limited
entity_legal_form_abbreviation_59,entity_legal_form_35,No Liability
entity_legal_form_abbreviation_60,entity_legal_form_35,NL
entity_legal_form_abbreviation_61,entity_legal_form_36,Proprietary
entity_legal_form_abbreviation_62,entity_legal_form_36,PTY
entity_legal_form_abbreviation_63,entity_legal_form_36,PTY.
entity_legal_form_abbreviation_64,entity_legal_form_36,Pty.
entity_legal_form_abbreviation_65,entity_legal_form_36,Pty Ltd
entity_legal_form_abbreviation_66,entity_legal_form_37,Ltd
entity_legal_form_abbreviation_67,entity_legal_form_37,Ltd.
entity_legal_form_abbreviation_68,entity_legal_form_37,Limited
entity_legal_form_abbreviation_69,entity_legal_form_38,Proprietary Limited
entity_legal_form_abbreviation_70,entity_legal_form_38,Proprietary Ltd
entity_legal_form_abbreviation_71,entity_legal_form_38,Pty Limited
entity_legal_form_abbreviation_72,entity_legal_form_38,PTY LTD
entity_legal_form_abbreviation_73,entity_legal_form_38,PTY. LTD.
entity_legal_form_abbreviation_74,entity_legal_form_38,Pty. Ltd.
entity_legal_form_abbreviation_75,entity_legal_form_38,Pty Ltd
entity_legal_form_abbreviation_76,entity_legal_form_38,Pty Ltd.
entity_legal_form_abbreviation_77,entity_legal_form_39,Indigenous corporation
entity_legal_form_abbreviation_78,entity_legal_form_39,RNTBC
entity_legal_form_abbreviation_79,entity_legal_form_42,SCE
entity_legal_form_abbreviation_80,entity_legal_form_44,KEG
entity_legal_form_abbreviation_81,entity_legal_form_45,GmbH
